word,count
de,128299.56
la,77160.8
je,73691.94
est,73071.42
et,67577.62
le,63927.42
à,62798.9
il,58110.04
ne,57238.84
pas,53966.58
était,53367.61
un,51276.6
n',51074.29
sont,49484.18
es,49427.66
été,49182.18
être,48939.27
êtes,48520.39
étais,48374.43
étaient,48053.25
suis,48000.44
sera,47961.82
serait,47918.61
soit,47808.65
sommes,47746.74
fut,47662.31
sois,47566.96
serai,47502.12
étiez,47460.85
étions,47460.16
serais,47448.5
soyez,47442.11
fût,47428.28
seras,47425.51
seront,47400.02
soient,47388.3
serez,47386.47
seraient,47366.37
serons,47365.22
furent,47363.8
soyons,47352.13
seriez,47345.42
fus,47342.9
fussent,47341.69
étant,47339.37
serions,47335.53
fûmes,47326.91
fusse,47325.11
fussions,47322.83
fûtes,47322.73
fussiez,47322.34
fusses,47322.17
les,46765.36
l',41752.34
a,40637.63
ai,38381.25
d',38202.18
n,36205.76
une,34991.64
avait,34872.16
tu,34397.58
vous,34193.72
as,33798.64
des,33361.28
ont,32976.66
avez,32689.22
avoir,32683.53
avais,32338.83
aurait,32133.35
aurais,31950.74
avaient,31938.66
avons,31841.74
eût,31569.92
ait,31554.92
ayant,31529.55
auraient,31464.04
avions,31457.46
aura,31439.61
aviez,31426.68
auriez,31423.74
eut,31416.44
aie,31413.47
aurai,31408.53
eu,31400.78
aient,31392.5
aurions,31387.95
aies,31387.67
ayez,31386.17
auras,31384.02
auront,31381.54
eussent,31380.36
aurez,31378.35
eus,31373.74
eurent,31369.79
aurons,31369.39
ayons,31368.78
eusse,31367.85
eussions,31361.38
eûmes,31361.25
eussiez,31361.02
eussé,31360.98
eue,31360.84
eues,31360.11
eusses,31360.1
n',31360.04
s,31360.04
en,28844.5
a,27166.62
on,26849.56
qui,26682.65
pour,26553.58
dans,25909.34
ai,23093.72
elle,23024.04
ça,22822.6
du,22553.72
avait,22091.68
as,21481.92
eu,21104.04
avez,20794.96
avais,20724.17
ont,20620.68
avoir,20580.38
avons,20305.52
aura,20261.59
eut,20258.12
avaient,20224.63
aurait,20165.32
ait,20126.07
aurai,20110.1
auras,20107.63
aurais,20107.17
aurez,20076.1
aie,20075.35
avions,20069.56
aviez,20058.19
eus,20046.22
ayez,20043.73
auront,20034.82
aurons,20034.56
eût,20032.08
eue,20029.9
auriez,20025.86
auraient,20020.02
aies,20019
aient,20017.08
eurent,20014.43
aurions,20008.46
ayons,20008.05
eues,20005.31
ayant,20003.64
eûmes,20003.49
eussent,20002.07
eusse,20001.58
eussions,19999.3
eusses,19999.03
eussé,19999.03
eussiez,19998.9
eûtes,19998.9
est,19495.28
mais,19285.54
se,18803.08
faire,18433.57
me,18387.52
fait,18353.72
plus,18153.96
au,18120.5
nous,17279.92
va,16924.84
était,16424.81
suis,16408.81
ce,16355.36
être,15986.62
fais,15757.65
sur,15681.16
s',15621.14
dit,15526.28
sont,15474.07
avec,15410.6
es,15193.12
étaient,15025.21
étais,14985.69
êtes,14888.17
y,14866.62
sera,14802.16
faisait,14802.1
fut,14789.39
sommes,14784.78
faites,14777.58
vais,14772.69
soit,14752.86
serait,14747.15
étant,14683.82
serais,14657.5
été,14640.97
sois,14639.77
seront,14639.32
étions,14633.46
fût,14632.88
fit,14632.76
furent,14625.76
seraient,14617.34
soient,14615.3
serai,14614.41
serez,14609.47
fus,14609.17
étiez,14606.51
seras,14606.02
soyez,14605.56
fussent,14592.24
serons,14589.97
seriez,14585.99
soyons,14583.96
serions,14582.61
fûmes,14580.83
fusse,14577.77
fussions,14577.01
fûtes,14576.47
fusses,14576.14
fussiez,14576.13
font,14490
allez,14418.09
fera,14372.83
ferai,14320.27
ferait,14306.58
fasse,14297.18
faisant,14291.46
faisaient,14286.1
ferais,14279.62
faisais,14278.82
faisons,14222.84
faite,14202
feras,14198.56
fis,14187.56
faits,14185.19
firent,14182.63
ferez,14180.64
feront,14176.6
feriez,14171.98
ferons,14170.5
feraient,14166.38
fasses,14165.51
faisiez,14161.76
faisions,14159.64
fassent,14158.82
fît,14157.12
fassiez,14153.57
ferions,14148.76
fîmes,14148.23
fassions,14146.19
fissent,14144.63
fisse,14143.75
fîtes,14142.92
fissiez,14142.68
fissions,14142.61
aller,14032.5
vas,13993.27
que,13723.07
qui,13636.64
bien,13497.84
allons,13477.71
allait,13350.35
vont,13245.67
dire,13171.01
lui,13067.76
allais,13047.4
allé,13028.26
ira,13024.35
aille,12974.06
irai,12947.36
allaient,12945.13
allée,12925.63
alla,12919.94
irait,12896.15
allés,12891.3
allant,12880.2
allions,12879.97
irais,12879.8
iras,12879.36
son,12873.16
irons,12872.38
allai,12867.74
alliez,12867.5
irez,12867.4
ailles,12865.11
iront,12859.86
allèrent,12859.81
aillent,12858.49
iraient,12854.82
allées,12853.08
irions,12851.71
allâmes,12851.21
iriez,12850.8
allât,12850.68
allassent,12847.9
allas,12847.77
allier,12847.71
mon,12313.92
dis,12281.79
en,11989.72
ils,11769.2
l',11672.48
comme,11510.8
le,11449.86
disait,11224.95
dites,11167.77
moi,11106.5
dirait,11055.16
par,10960.22
disais,10947.7
disent,10911.23
dirai,10888.47
disant,10886.68
dise,10857.52
dirais,10853.06
disons,10841.62
dira,10837.01
disaient,10826.01
diras,10811.71
disiez,10803.67
direz,10802.37
dises,10792.76
dite,10792.37
diront,10792.2
diriez,10791.7
dîtes,10788.96
dirent,10787.33
disions,10785.66
diraient,10784.91
dits,10784.63
dirons,10783.46
dît,10780.21
dirions,10779.41
dîmes,10779.19
dissent,10778.69
non,10351.98
ce,10351.6
t',10248.32
peux,10173.46
sa,10017.44
peut,9902.9
veux,9754.34
sais,9628.48
te,9560.84
pu,8899.81
pouvait,8737.29
pourrait,8657.13
voir,8638.84
pouvez,8590.81
que,8527.48
pourrais,8497.1
cette,8445.9
pouvoir,8433.22
pouvais,8420.12
peuvent,8386.89
puis,8375.3
puisse,8349.44
pourra,8306.81
pouvons,8287.37
pourriez,8278.87
pouvaient,8266.93
pourrai,8254.09
pourraient,8243.55
put,8239.03
pourras,8238.62
pourrez,8233.63
pût,8227.47
pourrions,8221.06
puissent,8208.5
pourront,8208.41
pouvant,8207.35
pouviez,8206.5
pouvions,8205.86
pourrons,8205.5
puisses,8200.56
pus,8198.51
puissiez,8195.83
puissions,8194.05
purent,8191.4
pussent,8187.04
pûmes,8186.05
pusse,8185.55
pusses,8184.34
pussiez,8184.34
pûtes,8184.31
pincer,8184.28
ma,8028.12
ou,8027.62
tous,7947.04
vu,7819.85
veut,7801.24
rien,7795.64
ses,7726.18
oui,7689.84
tout,7598.12
où,7559.03
voulez,7556.42
vois,7464.66
voulais,7412.5
voulait,7306.93
voulu,7214.67
savoir,7191.39
voudrais,7176.09
sait,7166.75
toute,7164.73
veulent,7070.87
savez,7061.14
vouloir,7016.28
toutes,7013.78
tout,6996.94
voudrait,6977.37
voulaient,6948.52
veuillez,6944.27
voulons,6939.35
vouliez,6939.03
voulut,6928.75
voudras,6925.74
voudra,6923.09
voudrez,6919.62
voudriez,6912.92
voulant,6912.17
veuille,6908.02
voulions,6904.59
voudraient,6901.88
voudront,6899.75
